1859,1623,2000
1842,1607,2000
1826,1590,2000
1809,1574,2000
1791,1558,2000
1802,1572,2000
1812,1586,2000
1822,1601,2000
1832,1616,2000
1841,1630,2000
1841,1627,2000
1841,1625,2000
1840,1622,2000
1840,1619,2000
1840,1617,1000
1847,1624,1000
1854,1631,1000
1862,1639,1000
1869,1646,1000
1876,1654,1000
1879,1652,1000
1882,1650,1000
1885,1649,1000
1889,1647,1000
1892,1646,1000
1894,1641,1000
1895,1637,1000
1897,1632,1000
1899,1628,1000
1901,1623,1000
1896,1620,1000
1892,1616,1000
1887,1613,1000
1883,1609,1000
1879,1606,1000
1873,1607,1000
1867,1608,1000
1861,1609,1000
1855,1610,1000
1849,1612,1000
1848,1613,1000
1846,1615,1000
1845,1617,1000
1844,1618,2000
