1561,1869,1000
1559,1863,1000
1557,1858,1000
1556,1853,1000
1554,1848,1000
1552,1843,1000
1550,1839,1000
1548,1834,1000
1547,1830,1000
1545,1825,1000
1543,1821,1000
1541,1817,1000
1539,1813,1000
1537,1809,1000
1535,1804,1000
1534,1801,1000
1532,1797,1000
1530,1793,1000
1528,1789,1000
1526,1785,1000
1524,1782,1000
1522,1778,1000
1520,1774,1000
1517,1771,1000
1515,1767,1000
1513,1764,1000
1511,1760,1000
1509,1757,1000
1507,1754,1000
1505,1750,1000
1502,1747,1000
1500,1744,1000
1498,1740,1000
1496,1737,1000
1493,1734,1000
1491,1731,1000
1489,1728,1000
1487,1725,1000
1484,1722,1000
1482,1718,1000
1479,1715,1000
1477,1712,1000
1475,1710,1000
1472,1707,1000
1470,1704,1000
1467,1701,1000
1465,1698,1000
1462,1695,1000
1460,1692,1000
1457,1689,1000
1454,1686,1000
1451,1683,1000
1448,1680,1000
1445,1676,1000
1442,1673,1000
1439,1670,1000
1436,1667,1000
1432,1664,1000
1429,1661,1000
1426,1658,1000
1423,1655,1000
1419,1652,1000
1416,1649,1000
1412,1646,1000
1409,1643,1000
1406,1640,1000
1402,1637,1000
1399,1634,1000
1395,1631,1000
1392,1628,1000
1388,1626,1000
1384,1623,1000
1381,1620,1000
1377,1617,1000
1373,1615,1000
1370,1612,1000
1366,1609,1000
1362,1607,1000
1358,1604,1000
1354,1602,1000
1350,1599,1000
1346,1597,1000
1342,1594,1000
1338,1592,1000
1334,1589,1000
1330,1587,1000
1326,1584,1000
1321,1582,1000
1317,1580,1000
1313,1577,1000
1308,1575,1000
1304,1573,1000
1299,1570,1000
1295,1568,1000
1290,1566,1000
1286,1564,1000
1281,1562,1000
1276,1559,1000
1271,1557,1000
1266,1555,1000
1273,1550,1000
1280,1545,1000
1287,1540,1000
1293,1535,1000
1299,1531,1000
1305,1526,1000
1311,1522,1000
1316,1517,1000
1321,1513,1000
1327,1508,1000
1331,1504,1000
1336,1500,1000
1341,1496,1000
1345,1492,1000
1350,1488,1000
1354,1484,1000
1358,1480,1000
1362,1476,1000
1366,1472,1000
1370,1469,1000
1374,1465,1000
1378,1461,1000
1382,1458,1000
1385,1454,1000
1389,1451,1000
1392,1447,1000
1396,1444,1000
1399,1440,1000
1403,1437,1000
1406,1433,1000
1409,1430,1000
1412,1427,1000
1415,1423,1000
1418,1420,1000
1422,1417,1000
1424,1414,1000
1427,1410,1000
1430,1407,1000
1433,1404,1000
1436,1401,1000
1439,1398,1000
1441,1395,1000
1444,1392,1000
1447,1389,1000
1449,1386,1000
1452,1383,1000
1455,1380,1000
1457,1377,1000
1460,1374,1000
1462,1371,1000
1465,1367,1000
1468,1364,1000
1471,1361,1000
1473,1357,1000
1476,1354,1000
1479,1351,1000
1481,1347,1000
1484,1344,1000
1487,1341,1000
1489,1337,1000
1492,1334,1000
1494,1331,1000
1496,1328,1000
1499,1325,1000
1501,1321,1000
1503,1318,1000
1506,1315,1000
1508,1312,1000
1510,1309,1000
1512,1306,1000
1515,1303,1000
1517,1300,1000
1519,1297,1000
